Wed Jun  3 06:47:25 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 575.57.08              Driver Version: 575.57.08      CUDA Version: 12.9     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H200                    On  |   00000000:4C:00.0 Off |                    0 |
| N/A   37C    P0             81W /  700W |       0MiB / 143771MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
JAX devices: [CudaDevice(id=0)]
Step 0: grad_norm=0.7361, loss=0.1084, param_norm=1802.3865
Step 100: grad_norm=0.3059, loss=0.0520, param_norm=1802.3861
Step 200: grad_norm=0.1945, loss=0.0235, param_norm=1802.3864
Step 300: grad_norm=0.1544, loss=0.0201, param_norm=1802.3896
Step 400: grad_norm=0.1347, loss=0.0182, param_norm=1802.3990
Step 500: grad_norm=0.1294, loss=0.0176, param_norm=1802.4177
Step 600: grad_norm=0.1178, loss=0.0169, param_norm=1802.4449
Step 700: grad_norm=0.1125, loss=0.0167, param_norm=1802.4838
Step 800: grad_norm=0.1011, loss=0.0158, param_norm=1802.5359
Step 900: grad_norm=0.1049, loss=0.0160, param_norm=1802.6029
Step 1000: grad_norm=0.0960, loss=0.0157, param_norm=1802.6884
Step 1100: grad_norm=0.1051, loss=0.0158, param_norm=1802.7944
Step 1200: grad_norm=0.0968, loss=0.0149, param_norm=1802.8934
Step 1300: grad_norm=0.0828, loss=0.0140, param_norm=1802.9906
Step 1400: grad_norm=0.0921, loss=0.0144, param_norm=1803.0874
Step 1500: grad_norm=0.0843, loss=0.0142, param_norm=1803.1890
Step 1600: grad_norm=0.0850, loss=0.0135, param_norm=1803.2831
Step 1700: grad_norm=0.0833, loss=0.0134, param_norm=1803.3767
Step 1800: grad_norm=0.0688, loss=0.0134, param_norm=1803.4702
Step 1900: grad_norm=0.0790, loss=0.0129, param_norm=1803.5659
Step 2000: grad_norm=0.0758, loss=0.0126, param_norm=1803.6591
Step 2100: grad_norm=0.0848, loss=0.0124, param_norm=1803.7539
Step 2200: grad_norm=0.0682, loss=0.0123, param_norm=1803.8490
Step 2300: grad_norm=0.0698, loss=0.0120, param_norm=1803.9406
Step 2400: grad_norm=0.0777, loss=0.0125, param_norm=1804.0365
Step 2500: grad_norm=0.0612, loss=0.0113, param_norm=1804.1315
Step 2600: grad_norm=0.0762, loss=0.0118, param_norm=1804.2188
Step 2700: grad_norm=0.0709, loss=0.0115, param_norm=1804.3104
Step 2800: grad_norm=0.0680, loss=0.0115, param_norm=1804.3969
Step 2900: grad_norm=0.0722, loss=0.0116, param_norm=1804.4900
Step 3000: grad_norm=0.0686, loss=0.0114, param_norm=1804.5815
Step 3100: grad_norm=0.0629, loss=0.0113, param_norm=1804.6737
Step 3200: grad_norm=0.0629, loss=0.0108, param_norm=1804.7601
Step 3300: grad_norm=0.0665, loss=0.0110, param_norm=1804.8494
Step 3400: grad_norm=0.0630, loss=0.0113, param_norm=1804.9390
Step 3500: grad_norm=0.0637, loss=0.0108, param_norm=1805.0287
Step 3600: grad_norm=0.0665, loss=0.0112, param_norm=1805.1208
Step 3700: grad_norm=0.0630, loss=0.0105, param_norm=1805.2100
Step 3800: grad_norm=0.0609, loss=0.0103, param_norm=1805.2987
Step 3900: grad_norm=0.0622, loss=0.0105, param_norm=1805.3843
